7249,41610,system,2021-09-30 12:16:17,광주시,C,4452
7395,41630,system,2021-09-30 12:16:17,양주시,C,4452
7455,41650,system,2021-09-30 12:16:17,포천시,C,4452
7556,41670,system,2021-09-30 12:16:17,여주시,C,4452
9520,41800,system,2021-09-30 12:16:17,연천군,C,4452
9801,41820,system,2021-09-30 12:16:17,가평군,C,4452
9904,41830,system,2021-09-30 12:16:17,양평군,C,4452
10974,42000,system,2021-09-30 12:16:17,강원도,P,100000
11057,42110,system,2021-09-30 12:16:17,춘천시,C,10974
11196,42130,system,2021-09-30 12:16:17,원주시,C,10974
11303,42150,system,2021-09-30 12:16:17,강릉시,C,10974
11420,42170,system,2021-09-30 12:16:17,동해시,C,10974
11464,42190,system,2021-09-30 12:16:17,태백시,C,10974
11493,42210,system,2021-09-30 12:16:17,속초시,C,10974
11509,42230,system,2021-09-30 12:16:17,삼척시,C,10974
11879,42720,system,2021-09-30 12:16:17,홍천군,C,10974
12042,42730,system,2021-09-30 12:16:17,횡성군,C,10974
12364,42750,system,2021-09-30 12:16:17,영월군,C,10974
12485,42760,system,2021-09-30 12:16:17,평창군,C,10974
12632,42770,system,2021-09-30 12:16:17,정선군,C,10974
12751,42780,system,2021-09-30 12:16:17,철원군,C,10974
12880,42790,system,2021-09-30 12:16:17,화천군,C,10974
12935,42800,system,2021-09-30 12:16:17,양구군,C,10974
13047,42810,system,2021-09-30 12:16:17,인제군,C,10974
13122,42820,system,2021-09-30 12:16:17,고성군,C,10974
13258,42830,system,2021-09-30 12:16:17,양양군,C,10974
13813,43000,system,2021-09-30 12:16:17,충청북도,P,100000
13980,43110,system,2021-09-30 12:16:17,청주시,C,13813
14070,43111,system,2021-09-30 12:16:17,청주시/상당구,CC,13813
14200,43112,system,2021-09-30 12:16:17,청주시/서원구,CC,13813
14249,43113,system,2021-09-30 12:16:17,청주시/흥덕구,CC,13813
14339,43114,system,2021-09-30 12:16:17,청주시/청원구,CC,13813
14437,43130,system,2021-09-30 12:16:17,충주시,C,13813
